对照方案,记录类型,比较范围,比较样本数,一致数量,完全一致比例,主模型类别,对照模型类别,主模型数量,对照模型数量,人数变化_对照减主模型,交叉数量,说明
B_CRITIC权重+中位数阈值,类别人数变化,全部记录,2227,,,重点词,重点词,502,482,-20,,无效词和异常特殊记录使用相同固定规则
B_CRITIC权重+中位数阈值,类别人数变化,全部记录,2227,,,潜力词,潜力词,461,485,24,,无效词和异常特殊记录使用相同固定规则
B_CRITIC权重+中位数阈值,类别人数变化,全部记录,2227,,,问题词,问题词,178,186,8,,无效词和异常特殊记录使用相同固定规则
B_CRITIC权重+中位数阈值,类别人数变化,全部记录,2227,,,无效词,无效词,888,888,0,,无效词和异常特殊记录使用相同固定规则
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,黄金词,黄金词,,,,178,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,黄金词,重点词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,黄金词,潜力词,,,,20,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,黄金词,问题词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,重点词,黄金词,,,,8,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,重点词,重点词,,,,482,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,重点词,潜力词,,,,1,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,重点词,问题词,,,,11,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,潜力词,黄金词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,潜力词,重点词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,潜力词,潜力词,,,,459,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,潜力词,问题词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,问题词,黄金词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,问题词,重点词,,,,0,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,问题词,潜力词,,,,3,行=CRITIC+KMeans主模型，列=对照模型
B_CRITIC权重+中位数阈值,混淆矩阵,常规可评分记录,1337,,,问题词,问题词,,,,175,行=CRITIC+KMeans主模型，列=对照模型
异常记录隔离检查,拟合影响检查,CRITIC与KMeans拟合样本,1337,1337,1,,,,,,,2条异常记录未参与权重和阈值拟合，附加特殊分类不改变1337条常规记录
